source,regime,label,class_name,n,n_unique,quantization_limited,rho1,rho5,rho10,p_gt_3sigma,p_gt_5sigma,p999_sigmas,robust_sigma,iact,pw_mhat,pw_block_stationary,pw_block_circular
synthetic,N/A,synth-null-rho0p6-seed0,test,10000,9893,False,0.3039810241902096,0.04608922375518762,0.017957531226764707,0.0057,0.0,3.8144766895452293,139089.37769999998,2.7285660673521086,5,27.15217755739271,31.08148436628438
synthetic,N/A,synth-null-rho0p6-seed1,baseline,10000,9900,False,0.2929369363009347,0.05969627536714507,0.004941001897406216,0.0063,0.0,4.065541899366128,136723.8894,2.6154049557982897,5,28.886580928511002,33.06688060753599
synthetic,N/A,synth-null-rho0p6-seed1,test,10000,9912,False,0.2865320396438378,0.03350170231721567,0.011271624141388431,0.0063,0.0002,3.960907685616855,137209.4409,2.52076070510631,4,24.7614010888254,28.34472849195402
synthetic,N/A,synth-null-rho0p6-seed2,baseline,10000,9893,False,0.29022892770153036,0.044565691900277905,-0.004239726679050714,0.0055,0.0001,3.791362126286055,138861.79859999998,2.394678088464253,5,25.97580334112972,29.734872046355612
synthetic,N/A,synth-null-rho0p6-seed2,test,10000,9915,False,0.2927888611421387,0.026216785594914378,-0.017778167895419188,0.0048,0.0001,3.6482371766493293,137308.7751,2.3537517586183356,4,23.709372650407527,27.140456554925933
synthetic,N/A,synth-null-rho0p6-seed3,baseline,10000,9898,False,0.3091021867058435,0.03207898423927699,0.010768317999800135,0.0065,0.0002,4.131636698428414,140196.8799,2.568511679703048,4,24.606527229433063,28.167442179308402
synthetic,N/A,synth-null-rho0p6-seed3,test,10000,9875,False,0.29140718187878356,0.040547462538649326,0.013561569252820586,0.0063,0.0002,4.072346431802396,136886.2341,2.5399428031857982,5,26.39878943127697,30.219070248149116
synthetic,N/A,synth-null-rho0p6-seed4,baseline,10000,9897,False,0.2838125019704716,0.020482142647602432,-0.00015775416924867082,0.0083,0.0,4.154727551378671,138348.819,2.263375385642129,4,22.78429632583711,26.081508510741294
synthetic,N/A,synth-null-rho0p6-seed4,test,10000,9914,False,0.30000026757349113,0.02508269704312856,0.0017844699726926878,0.0073,0.0001,4.112588751665319,138855.1269,2.4633045601075594,4,24.223661876130745,27.729170756403025
synthetic,N/A,synth-null-rho0p8-seed0,baseline,10000,9908,False,0.38043892739785845,0.14519548639373775,0.042431464200079816,0.0073,0.0,3.8327564108140484,137912.19329999998,4.646805700565127,10,48.423948653846885,55.43158370472978
synthetic,N/A,synth-null-rho0p8-seed0,test,10000,9881,False,0.4043432176251982,0.17135564732815925,0.06842972871045247,0.0054,0.0001,3.6557592442774007,138452.601,5.346568264487376,12,54.846321221961816,62.78336505443475
synthetic,N/A,synth-null-rho0p8-seed1,baseline,10000,9896,False,0.39371660479674575,0.17982865794287342,0.05798273099030582,0.0055,0.0,3.979745155294759,137054.5092,5.121735131474095,10,49.58848443076027,56.76464439452543
synthetic,N/A,synth-null-rho0p8-seed1,test,10000,9899,False,0.3924273294183925,0.1588489091513202,0.05738793690316419,0.0059,0.0001,3.8376490596021977,139809.9213,4.791497157971311,10,47.49032693841917,54.3628536299226
synthetic,N/A,synth-null-rho0p8-seed2,baseline,10000,9893,False,0.3848810863467247,0.1618906988143767,0.04430560040824973,0.006,0.0002,3.8794547528099073,136087.854,4.493577157366522,10,45.56440892191406,52.15822784643913
synthetic,N/A,synth-null-rho0p8-seed2,test,10000,9912,False,0.38931362140159603,0.13931993929775702,0.020329657980564454,0.0056,0.0001,3.8589848424599693,134339.1273,4.231199608410312,9,41.351105221490755,47.33519909236192
synthetic,N/A,synth-null-rho0p8-seed3,baseline,10000,9891,False,0.40649292402797466,0.15340204545513997,0.05685085968999982,0.0074,0.0003,4.263409857856749,138570.46769999998,4.919452888016234,13,52.607324760111624,60.22035391552832
synthetic,N/A,synth-null-rho0p8-seed3,test,10000,9892,False,0.39120215138330244,0.16583387234187683,0.0695149285270978,0.0067,0.0002,4.052983723635105,137503.737,5.166101234271277,12,53.73971413574799,61.516616161935346
synthetic,N/A,synth-null-rho0p8-seed4,baseline,10000,9911,False,0.374280968614535,0.1354883996453411,0.04019456357576029,0.0078,0.0,3.96879364936017,137101.95239999998,4.474023351675484,10,46.32407240079084,53.02782545025699
synthetic,N/A,synth-null-rho0p8-seed4,test,10000,9904,False,0.3943723751334792,0.14739347267108358,0.04364344858969454,0.0078,0.0,4.033592717686853,137335.4619,4.702600300683679,10,47.20922379648777,54.041070859727235
synthetic,N/A,synth-shift-1sigma-rho0p0-seed0,baseline,10000,9868,False,0.006852844140773396,-0.008781218454432329,-0.005951508649790428,0.0051,0.0001,3.740689031472042,97002.8115,1.0137056882815467,1,1.2227170768788698,1.3996616525164194
synthetic,N/A,synth-shift-1sigma-rho0p0-seed0,test,10000,9863,False,0.0003033706738563712,0.007855152378205403,-0.01462208535949135,0.0059,0.0,3.718714268291328,108724.2471,1.0313134088551834,1,0.1543453126851767,0.17668127770206923
synthetic,N/A,synth-shift-1sigma-rho0p0-seed1,baseline,10000,9884,False,-0.01049206915455497,0.01748003525655654,0.002934069809617649,0.0043,0.0,3.574815378287043,96982.79639999999,1.0,1,1.6623951938156298,1.902967455112958
synthetic,N/A,synth-shift-1sigma-rho0p0-seed1,test,10000,9877,False,0.012131746244681123,0.017426619273165137,0.012193388820824814,0.0033,0.0,3.678882983563503,111150.522,1.024263492489362,1,1.7770285824635814,2.0341899277704196
synthetic,N/A,synth-shift-1sigma-rho0p0-seed2,baseline,10000,9878,False,0.0016848826886518915,-0.01893132960327759,0.0035566787868271535,0.0053,0.0,3.5678691921154715,98017.6512,1.0033697653773035,1,0.4831616277350668,0.5530819967235818
synthetic,N/A,synth-shift-1sigma-rho0p0-seed2,test,10000,9875,False,0.006909689978196282,0.006806023447064532,0.0095865156060648,0.005,0.0001,3.663370821218186,108452.9313,1.035636166482914,1,1.2293776475822713,1.407286102664137
synthetic,N/A,synth-shift-1sigma-rho0p0-seed3,baseline,10000,9860,False,0.003378920473926471,-0.00840352036835693,0.005118970883758105,0.0045,0.0,3.5341602208883947,97859.01299999999,1.006757840947853,1,0.7666349779920802,0.8775779781470943
synthetic,N/A,synth-shift-1sigma-rho0p0-seed3,test,10000,9850,False,0.002468425679134588,-0.001511343249976465,0.010533514237460299,0.0037,0.0,3.9382809812983424,108647.1519,1.0285436725466863,1,0.6225977107125864,0.7126964668337967
synthetic,N/A,synth-shift-1sigma-rho0p0-seed4,baseline,10000,9840,False,-0.0007411739746103359,-0.004098471223102986,-0.002680864562479773,0.0051,0.0,3.6830654451500524,98780.44889999999,1.0,1,0.28036875084711194,0.32094210226157555
synthetic,N/A,synth-shift-1sigma-rho0p0-seed4,test,10000,9865,False,-0.0046031458660658045,-0.017654136529674635,-0.009897185855281437,0.0038,0.0,3.7126379521790307,109624.92659999999,1.036662603951148,1,0.952213487132152,1.090012340671548
synthetic,N/A,synth-shift-1sigma-rho0p3-seed0,baseline,10000,9893,False,0.14917948835384592,-0.0022681864531751135,-0.011372570623510558,0.0069,0.0001,3.8622431953720855,140999.7078,1.366168612839083,1,8.08281953978195,9.252518647176766
synthetic,N/A,synth-shift-1sigma-rho0p3-seed0,test,10000,9909,False,0.1560844602694335,0.014176352871243665,0.012962011553132336,0.0055,0.0,3.804756768654863,152306.0154,1.5069001322839477,2,10.728997373535185,12.281636101803015
synthetic,N/A,synth-shift-1sigma-rho0p3-seed1,baseline,10000,9899,False,0.1478939212297971,0.020689403907104324,0.0007574632743121538,0.0066,0.0001,3.880326802111731,137912.19329999998,1.519976481489811,1,8.046943383793161,9.211450700448333
synthetic,N/A,synth-shift-1sigma-rho0p3-seed1,test,10000,9898,False,0.13146181920576627,-0.004819845786010923,0.004653463406412751,0.0063,0.0002,3.8958268765045303,152471.3253,1.410528832062682,2,11.36872224209769,13.013938270162072
synthetic,N/A,synth-shift-1sigma-rho0p3-seed2,baseline,10000,9881,False,0.14643705609251426,0.008704291891188976,-0.00389001086466891,0.0056,0.0001,3.661997564453234,141191.7045,1.3870983206779575,1,8.006016799690084,9.164601456726484
synthetic,N/A,synth-shift-1sigma-rho0p3-seed2,test,10000,9911,False,0.1414985913800668,-0.007404392607174565,-0.012116461867037335,0.0047,0.0001,3.77352144972452,151358.634,1.3756349752727863,2,10.352438809818853,11.850584150761502
synthetic,N/A,synth-shift-1sigma-rho0p3-seed3,baseline,10000,9906,False,0.1594630431237366,-0.0027246724679716025,0.007633916483019072,0.0055,0.0002,3.9417262052953017,141826.9986,1.4487726368553622,2,11.545347618330212,13.216123853931784
synthetic,N/A,synth-shift-1sigma-rho0p3-seed3,test,10000,9899,False,0.14092896053487414,0.006361199741440856,0.00545254650640913,0.0064,0.0003,3.948764562985795,150823.4154,1.464514394987377,2,11.614955552728407,13.295805047832117
synthetic,N/A,synth-shift-1sigma-rho0p3-seed4,baseline,10000,9896,False,0.13946526617901833,-0.01107917738771573,0.004472352925771104,0.0079,0.0002,3.9466266160134875,138708.34949999998,1.4086312513394894,2,11.180363695374043,12.798321559020868
synthetic,N/A,synth-shift-1sigma-rho0p3-seed4,test,10000,9900,False,0.15442854947417095,-0.009443440080193922,0.003196658990816741,0.0082,0.0002,4.192107045157223,152042.8539,1.426915549594323,2,11.2720046138663,12.903224223619626
synthetic,N/A,synth-shift-1sigma-rho0p6-seed0,baseline,10000,9917,False,0.29010257566680603,0.026994879511067618,-0.005792250567133452,0.0071,0.0002,3.8946640339477128,140113.8543,2.2157785220738155,4,22.194927748799348,25.406849906492774
synthetic,N/A,synth-shift-1sigma-rho0p6-seed0,test,10000,9891,False,0.3039810531663903,0.046089221223589216,0.01795751897430157,0.0057,0.0,3.8144777584120364,152928.70739999998,2.728566316112336,5,27.15218013336428,31.08148731503572
synthetic,N/A,synth-shift-1sigma-rho0p6-seed1,baseline,10000,9900,False,0.2929369363009347,0.05969627536714507,0.004941001897406216,0.0063,0.0,4.065541899366128,136723.8894,2.6154049557982897,5,28.886580928511002,33.06688060753599
synthetic,N/A,synth-shift-1sigma-rho0p6-seed1,test,10000,9923,False,0.2865320214431227,0.03350174168860169,0.011271688875597225,0.0063,0.0002,3.9608843071759905,150862.70429999998,2.520761344740555,4,24.76140510835017,28.34473309316127
synthetic,N/A,synth-shift-1sigma-rho0p6-seed2,baseline,10000,9893,False,0.29022892770153036,0.044565691900277905,-0.004239726679050714,0.0055,0.0001,3.791362126286055,138861.79859999998,2.394678088464253,5,25.97580334112972,29.734872046355612
synthetic,N/A,synth-shift-1sigma-rho0p6-seed2,test,10000,9913,False,0.2927888729100365,0.02621679973260009,-0.01777807198152637,0.0048,0.0001,3.6482295075596807,150971.67539999998,2.3537520646456236,4,23.709373372483117,27.140457381496148
synthetic,N/A,synth-shift-1sigma-rho0p6-seed3,baseline,10000,9898,False,0.3091021867058435,0.03207898423927699,0.010768317999800135,0.0065,0.0002,4.131636698428414,140196.8799,2.568511679703048,4,24.606527229433063,28.167442179308402
synthetic,N/A,synth-shift-1sigma-rho0p6-seed3,test,10000,9890,False,0.29140720556905453,0.040547477187968604,0.013561518401346227,0.0063,0.0002,4.072361300823767,150506.139,2.539942721081255,5,26.398790981639756,30.219072022871483
synthetic,N/A,synth-shift-1sigma-rho0p6-seed4,baseline,10000,9897,False,0.2838125019704716,0.020482142647602432,-0.00015775416924867082,0.0083,0.0,4.154727551378671,138348.819,2.263375385642129,4,22.78429632583711,26.081508510741294
synthetic,N/A,synth-shift-1sigma-rho0p6-seed4,test,10000,9909,False,0.3000003314307008,0.025082727755098684,0.001784485695365512,0.0073,0.0001,4.112607337614511,152670.735,2.4633050202076636,4,24.223664976905454,27.729174305904003
synthetic,N/A,synth-shift-1sigma-rho0p8-seed0,baseline,10000,9908,False,0.38043892739785845,0.14519548639373775,0.042431464200079816,0.0073,0.0,3.8327564108140484,137912.19329999998,4.646805700565127,10,48.423948653846885,55.43158370472978
synthetic,N/A,synth-shift-1sigma-rho0p8-seed0,test,10000,9888,False,0.40434324126733906,0.17135566557460477,0.06842971952500783,0.0054,0.0001,3.65575484125388,152228.9202,5.346568217313703,12,54.84632230680678,62.783366296272234
synthetic,N/A,synth-shift-1sigma-rho0p8-seed1,baseline,10000,9896,False,0.39371660479674575,0.17982865794287342,0.05798273099030582,0.0055,0.0,3.979745155294759,137054.5092,5.121735131474095,10,49.58848443076027,56.76464439452543
synthetic,N/A,synth-shift-1sigma-rho0p8-seed1,test,10000,9912,False,0.39242728289454476,0.158848914385358,0.057387927266355665,0.0059,0.0001,3.837671762269605,153720.4158,4.791496698951131,10,47.49032337902704,54.36284955543572
synthetic,N/A,synth-shift-1sigma-rho0p8-seed2,baseline,10000,9893,False,0.3848810863467247,0.1618906988143767,0.04430560040824973,0.006,0.0002,3.8794547528099073,136087.854,4.493577157366522,10,45.56440892191406,52.15822784643913
synthetic,N/A,synth-shift-1sigma-rho0p8-seed2,test,10000,9915,False,0.38931359518551745,0.13931995259087143,0.020329593256018807,0.0056,0.0001,3.858998085187179,147705.50759999998,4.231199408440648,9,41.35109963393117,47.335192696202874
synthetic,N/A,synth-shift-1sigma-rho0p8-seed3,baseline,10000,9891,False,0.40649292402797466,0.15340204545513997,0.05685085968999982,0.0074,0.0003,4.263409857856749,138570.46769999998,4.919452888016234,13,52.607324760111624,60.22035391552832
synthetic,N/A,synth-shift-1sigma-rho0p8-seed3,test,10000,9901,False,0.3912021288707194,0.16583385829767905,0.06951496456831072,0.0067,0.0002,4.0529933842757275,151185.1698,5.166101644387215,12,53.73972161812158,61.51662472711496
synthetic,N/A,synth-shift-1sigma-rho0p8-seed4,baseline,10000,9911,False,0.374280968614535,0.1354883996453411,0.04019456357576029,0.0078,0.0,3.96879364936017,137101.95239999998,4.474023351675484,10,46.32407240079084,53.02782545025699
synthetic,N/A,synth-shift-1sigma-rho0p8-seed4,test,10000,9905,False,0.39437243064259175,0.1473934921362695,0.04364348199611196,0.0078,0.0,4.033596595424078,151000.5861,4.702601698442211,10,47.20923386104581,54.04108238077016
synthetic,N/A,synth-tail-1sigma-rho0p0-seed0,baseline,10000,9868,False,0.006852844140773396,-0.008781218454432329,-0.005951508649790428,0.0051,0.0001,3.740689031472042,97002.8115,1.0137056882815467,1,1.2227170768788698,1.3996616525164194
synthetic,N/A,synth-tail-1sigma-rho0p0-seed0,test,10000,9877,False,-0.011125096318621531,0.008882908025456543,-0.02666847031700629,0.0524,0.0211,7.510368209551203,106340.2263,1.0,1,1.730097947342329,1.9804677613350483
synthetic,N/A,synth-tail-1sigma-rho0p0-seed1,baseline,10000,9884,False,-0.01049206915455497,0.01748003525655654,0.002934069809617649,0.0043,0.0,3.574815378287043,96982.79639999999,1.0,1,1.6623951938156298,1.902967455112958
synthetic,N/A,synth-tail-1sigma-rho0p0-seed1,test,10000,9878,False,-0.005595882958415048,0.016015858490221815,-0.0025496183815068027,0.0456,0.0188,7.589592354666563,106814.6583,1.0,1,1.08606969565225,1.2432394490186929
