config,group,value,attacker,attacker_threshold_ns,n_null,fpr,fpr_ci_lo,fpr_ci_hi,incon_null,incon_null_ci_lo,incon_null_ci_hi,n_pos_1sig_shift,detect_1sig_shift,detect_1sig_shift_ci_lo,detect_1sig_shift_ci_hi,n_pos_1sig_tail,detect_1sig_tail,detect_1sig_tail_ci_lo,detect_1sig_tail_ci_hi,n_pos_2sig_shift,detect_2sig_shift,detect_2sig_shift_ci_lo,detect_2sig_shift_ci_hi
α/1-β = 0.10/0.90,α / 1-β,0.10 / 0.90,SharedHardware,0.4,880,0.005681818181818182,0.0024292666816911916,0.013231458045454485,0.5647727272727273,0.5318038320820392,0.5971785557123349,480,1.0,0.9920602114410997,1.0,480,0.9666666666666667,0.9465429547550755,0.9793799092566174,480,1.0,0.9920602114410997,1.0
kl_min = 0.3,kl_min,0.3,AdjacentNetwork,100.0,880,0.0,0.0,0.0043464801837795365,0.0,0.0,0.0043464801837795365,480,0.0,0.0,0.00793978855890027,480,0.0,0.0,0.00793978855890027,480,0.0,0.0,0.00793978855890027
kl_min = 0.3,kl_min,0.3,SharedHardware,0.4,880,0.0,0.0,0.0043464801837795365,0.6761363636363636,0.6445104458640434,0.706231134980307,480,1.0,0.9920602114410997,1.0,480,0.8979166666666667,0.8675955337695135,0.9219190511690284,480,1.0,0.9920602114410997,1.0
kl_min = 1.5,kl_min,1.5,AdjacentNetwork,100.0,880,0.0,0.0,0.0043464801837795365,0.0,0.0,0.0043464801837795365,480,0.0,0.0,0.00793978855890027,480,0.0,0.0,0.00793978855890027,480,0.0,0.0,0.00793978855890027
kl_min = 1.5,kl_min,1.5,SharedHardware,0.4,880,0.0,0.0,0.0043464801837795365,0.6761363636363636,0.6445104458640434,0.706231134980307,480,1.0,0.9920602114410997,1.0,480,0.6125,0.5681872269925768,0.6550263205816708,480,1.0,0.9920602114410997,1.0
ν_ℓ = 4,ν_ℓ,4,AdjacentNetwork,100.0,880,0.0,0.0,0.0043464801837795365,0.0,0.0,0.0043464801837795365,480,0.0,0.0,0.00793978855890027,480,0.0,0.0,0.00793978855890027,480,0.0,0.0,0.00793978855890027
ν_ℓ = 4,ν_ℓ,4,SharedHardware,0.4,880,0.0,0.0,0.0043464801837795365,0.7045454545454546,0.6735638984141441,0.7337489051470372,480,1.0,0.9920602114410997,1.0,480,0.7541666666666667,0.7137285417010657,0.7905687324481601,480,1.0,0.9920602114410997,1.0
ν_ℓ = 16,ν_ℓ,16,AdjacentNetwork,100.0,880,0.0,0.0,0.0043464801837795365,0.0,0.0,0.0043464801837795365,480,0.0,0.0,0.00793978855890027,480,0.0,0.0,0.00793978855890027,480,0.0,0.0,0.00793978855890027
ν_ℓ = 16,ν_ℓ,16,SharedHardware,0.4,880,0.0,0.0,0.0043464801837795365,0.6704545454545454,0.6387155546429809,0.7007117816580032,480,1.0,0.9920602114410997,1.0,480,0.9270833333333334,0.9002781367480388,0.9471066271912338,480,1.0,0.9920602114410997,1.0
ν_ℓ = 2.5 (stress),ν_ℓ,2.5,AdjacentNetwork,100.0,880,0.0,0.0,0.0043464801837795365,0.0,0.0,0.0043464801837795365,480,0.0,0.0,0.00793978855890027,480,0.0,0.0,0.00793978855890027,480,0.0,0.0,0.00793978855890027
ν_ℓ = 2.5 (stress),ν_ℓ,2.5,SharedHardware,0.4,880,0.0,0.0,0.0043464801837795365,0.7454545454545455,0.7156493489814599,0.7731260152919575,480,0.6208333333333333,0.5766311261148624,0.6631167583167368,480,0.5791666666666667,0.534542864948103,0.6225333351967379,480,0.275,0.23695949225804439,0.3166134125934609
ν_ℓ = 2.01 (near-Cauchy),ν_ℓ,2.01,AdjacentNetwork,100.0,720,0.0,0.0,0.005307238489746928,0.0,0.0,0.005307238489746928,480,0.0,0.0,0.00793978855890027,480,0.0,0.0,0.00793978855890027,480,0.0,0.0,0.00793978855890027
ν_ℓ = 2.01 (near-Cauchy),ν_ℓ,2.01,SharedHardware,0.4,720,0.0,0.0,0.005307238489746928,0.9416666666666667,0.9220882510267131,0.956557021640677,480,0.3770833333333333,0.334862723765844,0.42125580758821896,480,0.4395833333333333,0.3958341283758239,0.4842919294083765,480,0.0,0.0,0.00793978855890027
ν (prior) = 2.5,ν (prior),2.5,AdjacentNetwork,100.0,880,0.0,0.0,0.0043464801837795365,0.0,0.0,0.0043464801837795365,480,0.0,0.0,0.00793978855890027,480,0.0,0.0,0.00793978855890027,480,0.0,0.0,0.00793978855890027
ν (prior) = 2.5,ν (prior),2.5,SharedHardware,0.4,880,0.0,0.0,0.0043464801837795365,0.6920454545454545,0.66076385632479,0.7216576092409857,480,1.0,0.9920602114410997,1.0,480,0.8541666666666666,0.8197803827307627,0.8829289337066829,480,1.0,0.9920602114410997,1.0
ν (prior) = 16,ν (prior),16,AdjacentNetwork,100.0,880,0.0,0.0,0.0043464801837795365,0.0,0.0,0.0043464801837795365,480,0.0,0.0,0.00793978855890027,480,0.0,0.0,0.00793978855890027,480,0.0,0.0,0.00793978855890027
ν (prior) = 16,ν (prior),16,SharedHardware,0.4,880,0.0,0.0,0.0043464801837795365,0.6931818181818182,0.6619264072298044,0.7227579072446445,480,0.9979166666666667,0.9882944719644672,0.9996321552622943,480,0.8833333333333333,0.8515234004653552,0.9090560949728211,480,0.6895833333333333,0.6468246902575693,0.7293314732471811
Combo stress (aggressive),combo,π₀=.85 α=.01 kl=1.5 ν_ℓ=2.5 ν=2.5,AdjacentNetwork,100.0,720,0.0,0.0,0.005307238489746928,0.0,0.0,0.005307238489746928,480,0.0,0.0,0.00793978855890027,480,0.0,0.0,0.00793978855890027,480,0.0,0.0,0.00793978855890027
Combo stress (aggressive),combo,π₀=.85 α=.01 kl=1.5 ν_ℓ=2.5 ν=2.5,SharedHardware,0.4,720,0.0,0.0,0.005307238489746928,1.0,0.9946927615102529,0.9999999999999999,480,1.0,0.9920602114410997,1.0,480,0.31666666666666665,0.27664699014754157,0.35959759899072186,480,1.0,0.9920602114410997,1.0
Combo stress (conservative),combo,π₀=.50 α=.10 kl=0.3 ν_ℓ=16 ν=16,AdjacentNetwork,100.0,720,0.0,0.0,0.005307238489746928,0.0,0.0,0.005307238489746928,480,0.0,0.0,0.00793978855890027,480,0.0,0.0,0.00793978855890027,480,0.0,0.0,0.00793978855890027
Combo stress (conservative),combo,π₀=.50 α=.10 kl=0.3 ν_ℓ=16 ν=16,SharedHardware,0.4,720,0.001388888888888889,0.00024520877158326496,0.007825065166803254,0.6763888888888889,0.6413563926415881,0.7095491093356402,480,1.0,0.9920602114410997,1.0,480,0.9583333333333334,0.9365205738901328,0.9728679532642086,480,1.0,0.9920602114410997,1.0
